Alger County,, Glauconite, Pyrite, Quartz,Thomsonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eaton County,, Barite, Calcite, Celestite, Fluorite,Galena, Glauconite, Gypsum, Marcasite,Pyrite,Siderite, Sphalerite, Vivianite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmet County,, Gold, Montmorillonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesee County,, Augite, Brookite, Enstatite,Hypersthene, Ilmenite, Kyanite,Leucoxene,Uvarovite, Zoisite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gogebic County,, Actinolite, Allanite,Aphrosiderite, Aragonite, Axinite, Barite, Calcite,Chalcocite, Chalcopyrite, Chamosite, Chlorite,Chromium Silicates, Copper, Dickite, Dolomite,Fluorite, Galena, Goethite, Gold, Graphite,Greenalite, Grunerite, Gypsum, Hausmannite,Hematite, Hisingerite, Hornblende, Kaolinite,Laumontite, Magnesiosussexite, Magnetite,Malachite, Manganite, Microcline, Minnesotaite,Molybdenite, Montmorillonite, Muscovite,Neotocite,Nontronite, Palygorskite, Psilomelane, Pyrite,Pyrolusite, Quartz, Rhodochrosite,Riebeckite,Siderite, Sphalerite, Sphene, Stilpnomelane, Talc,Tremolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gratiot County,, Actinolite, Albite, Anatase,Anhydrite, Augite, Bornite, Chalcopyrite,Chlorite,Copper, Digenite, Epidote, Ilmenite, Microcline,Prehnite, Pyrite, Sphene, Tremolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houghton County,, Albite, Algodonite, Analcite,Anatase, Anhydrite, Ankerite,Anthonyite, Apatite,Apophyllite, Atacamite, Augite, Barite, Bornite,Brucite, Buttgenbachite,Calcite, Calumetite,Chalcocite, Chalconatronite, Chalcopyrite,Chamosite, Chlorite,Chloritoid, Chrysocolla,Clinozoisite, Copper, Cuprite, Datolite, Delessite,Diabantite,Diopside,Dolomite, Domeykite, Epidote,Fluorite, Gypsum, Halite, Hematite,Iddingsite, Illite,Ilmenite, Kaolinite, Kinoite, Labradorite, Laumontite,Leonhardite,Leucoxene, Magnetite, Malachite,Manganite, Melilite, Microcline, Mirabilite,Monazite,Montmorillonite, Muscovite, Natrolite, Olivenite,Olivine, Orthoclase,Paratacamite, Pennine,Powellite, Prehnite, Prochlorite, Pumpellyite, Pyrite,Pyrrhotite,Quartz, Rhodochrosite, Saponite,Siderite, Silver, Sphene, Stilbite, Thomsonite,Thuringite, Tourmaline, Tremolite, Vermiculite,Zircon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huron County,, Calcite, Dolomite, Galena, Galena,Galena, Glauconite, Gypsum,Marcasite,Melanterite, Millerite, Pyrite, Quartz, Siderite,Sphalerite, Spinel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingham County,, Diamond, Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionia County,, Gold, Gypsum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iosco County,, Gypsum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron County,, Allanite, Alunite, alusite, Apatite,Aphrosiderite, Aragonite, Augite, Barite,Bassetite,Bornite, Braunite, Calcite, Chalcocite, Chalcopyrite,Chamosite, Chlorite, Chloritoid,Clinozoisite, Copper,Corundum, Diamond, Dickite, Dolomite, Enstatite,Galena, Goethite,Gold, Graphite, Greenalite,Greenockite, Grunerite, Gypsum, Halotrichite,Hausmannite,Hematite, Hornblende,Hydrohausmannite, Illite, Ilmenite, Kaolinite,Kyanite,Labradorite, Magnetite, Manganite, Marcasite,Mesolite, Meta-Autunite,Metatorbernite,Metatyuyamunite, Microcline, Muscovite,Natrojarosite, Neotocite, Olivine,Phlogopite,Pigeonite, Psilomelane, Pyrite, Pyrolusite, Pyrope,Pyrrhotite, Quartz,Rhodochrosite, Rhodonite, Rutile,Sanidine, Seamanite, Siderite, Sillimanite, Silver,Sphalerite,Sphene, Spinel, Staurolite,Stilpnomelane, Strontianite, Sussexite, Talc,Tourmaline, Tremolite, Uraninite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isabella County,, Anhydrite, Fluorite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
