Bornite,https://en.wikipedia.org/wiki/Bornite,Gratiot,Houghton,Iron,Keweenaw,Marquette,Ontonagon,,,,,,,,,,,,,,,,,,,
Brannerite,https://en.wikipedia.org/wiki/Brannerite,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Braunite,https://en.wikipedia.org/wiki/Braunite,Iron,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,
Brochantite,https://en.wikipedia.org/wiki/Brochantite,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Brookite,https://en.wikipedia.org/wiki/Brookite,Genesee,Jackson,,,,,,,,,,,,,,,,,,,,,,,
Brucite,https://en.wikipedia.org/wiki/Brucite,Houghton,Marquette,,,,,,,,,,,,,,,,,,,,,,,
Brunsvigite,https://en.wikipedia.org/wiki/Brunsvigite,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Buttgenbachite,https://en.wikipedia.org/wiki/Buttgenbachite,Houghton,,,,,,,,,,,,,,,,,,,,,,,,
Bytownite,https://en.wikipedia.org/wiki/Bytownite,Dickinson,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,
Calciovolborthite,https://en.wikipedia.org/wiki/Calciovolborthite,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Calcite,https://en.wikipedia.org/wiki/Calcite,Alpena,Arenac,Baraga,Calhoun,Chippewa,Dickinson,Eaton,Gogebic,Houghton,Huron,Iron,Jackson,Kent,Keweenaw,Marquette,Monroe,Ontonagon,Ottawa,Presque Isle,Shiawassee,St. Clair,St. Joseph,,,
Calumetite,https://en.wikipedia.org/wiki/Calumetite,Houghton,,,,,,,,,,,,,,,,,,,,,,,,
Carnallite,https://en.wikipedia.org/wiki/Carnallite,Wayne,,,,,,,,,,,,,,,,,,,,,,,,
Celestite,https://en.wikipedia.org/wiki/Celestite,Chippewa,Eaton,Kent,Marquette,Monroe,Newaygo,Wayne,,,,,,,,,,,,,,,,,,
Chalcocite,https://en.wikipedia.org/wiki/Chalcocite,Baraga,Gogebic,Houghton,Iron,Keweenaw,Marquette,Ontonagon,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalconatronite,https://en.wikipedia.org/wiki/Chalconatronite,Houghton,,,,,,,,,,,,,,,,,,,,,,,,
Chalcopyrite,https://en.wikipedia.org/wiki/Chalcopyrite,Alpena,Baraga,Dickinson,Gogebic,Gratiot,Houghton,Iron,Keweenaw,Marquette,Ontonagon,,,,,,,,,,,,,,,
GogebicGratiot,https://en.wikipedia.org/wiki/Gogebic_Gratiot,,,,,,,,,,,,,,,,,,,,,,,,,
Chamosite,https://en.wikipedia.org/wiki/Chamosite,Gogebic,Houghton,Iron,Keweenaw,Marquette,,,,,,,,,,,,,,,,,,,,
Chloanthite,https://en.wikipedia.org/wiki/Chloanthite,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Chlorite,https://en.wikipedia.org/wiki/Chlorite,Baraga,Dickinson,Gogebic,Gratiot,Houghton,Iron,Keweenaw,Marquette,Ontonagon,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloritoid,https://en.wikipedia.org/wiki/Chloritoid,Houghton,Iron,Keweenaw,Marquette,,,,,,,,,,,,,,,,,,,,,
